id,name,lat,long,type,adj_type
10728,Restaurant Cafeteria L'Orri,42.507184,1.525855,gastronomy,gastronomy
10980,Snack-Bar Granja Roser,42.511692,1.534519,gastronomy,gastronomy
10732,La BoÍŒte,42.509842,1.540157,gastronomy,gastronomy
10982,Granja Tuite 42,42.505739,1.528502,gastronomy,gastronomy
10736,Cafeteria Mac-Bar Punt de Trobada,42.448035,1.481756,gastronomy,gastronomy
10984,Granja Tramuntana,42.507453,1.520963,gastronomy,gastronomy
10738,Restaurant Macary,42.508584,1.52269,gastronomy,gastronomy
11378,Restaurant El Marselles,42.541226,1.732554,gastronomy,gastronomy
10986,Bar Verd i Blanc,42.504679,1.5157,gastronomy,gastronomy
10740,Bar Restaurant Margineda,42.479561,1.488836,gastronomy,gastronomy
11386,Restaurant El RacÍ_ de la Fina,42.547239,1.514697,gastronomy,gastronomy
10990,Granja XamfrÍ_,42.507508,1.520061,gastronomy,gastronomy
10742,Bar Restaurant Meritxell,42.470049,1.493119,gastronomy,gastronomy
10992,Restaurant Barcelona,42.476344,1.49009,gastronomy,gastronomy
10998,Bar Hotel Isard,42.50806,1.525206,gastronomy,gastronomy
10748,Bar Muntanya,42.464966,1.491775,gastronomy,gastronomy
11394,Restaurant El Xalet,42.572907,1.483916,gastronomy,gastronomy
10750,Cafeteria ObÍÎlix,42.56642,1.469593,gastronomy,gastronomy
11396,Restaurant Els Pessons,42.574299,1.620532,gastronomy,gastronomy
11002,Bar Hotel La Planada,42.553998,1.532082,gastronomy,gastronomy
10752,Bar Off Piste,42.574801,1.481846,gastronomy,gastronomy
11398,Restaurant Els Teus Sentits,42.507216,1.520719,gastronomy,gastronomy
11004,Restaurant Hotel Peralba,42.476229,1.488716,gastronomy,gastronomy
10754,Bar Orelles,42.506496,1.53388,gastronomy,gastronomy
11400,Restaurant FÍ_brica de Gel,42.566329,1.598071,gastronomy,gastronomy
11006,Restaurant Hotel Roc de Sant Miquel,42.580973,1.663871,gastronomy,gastronomy
10756,Bar Fora de joc,42.509739,1.531016,gastronomy,gastronomy
11402,Restaurant La Braseria la Neu,42.60023,1.532078,gastronomy,gastronomy
11008,Restaurant Segle XX,42.581257,1.638079,gastronomy,gastronomy
10758,Cafeteria PanorÍ_mix,42.569644,1.477747,gastronomy,gastronomy
11010,Bar Jijonenca,42.508291,1.521628,gastronomy,gastronomy
11404,Restaurant Font Blanca,42.576877,1.517158,gastronomy,gastronomy
10760,Bar Hotel Parador de CanÍ_lich,42.474671,1.451595,gastronomy,gastronomy
11012,Granja La Gormanderia II,42.508533,1.538716,gastronomy,gastronomy
11406,Restaurant Fontanella,42.576731,1.667105,gastronomy,gastronomy
42530,Bar MÍ_n de Fantasia,42.532722,1.575687,gastronomy,gastronomy
11014,Granja pastisseria Les Caldes,42.509881,1.540693,gastronomy,gastronomy
10762,Bar Pasta Express de Neu,42.540892,1.733721,gastronomy,gastronomy
11408,Restaurant GaspÍ_,42.550891,1.526034,gastronomy,gastronomy
42987,Bar Coto Restaurant,42.467292,1.49217,gastronomy,gastronomy
11020,Granja OP Pastisseria,42.546101,1.514139,gastronomy,gastronomy
137169,Bar Restaurant Cisco de Sans,42.507063,1.520414,gastronomy,gastronomy
43315,Bar Cerveseria CanÍ_lich,42.463301,1.488245,gastronomy,gastronomy
11410,Restaurant GastronÍ_mic,42.536523,1.49163,gastronomy,gastronomy
10764,Restaurant Polar Base,42.574801,1.481846,gastronomy,gastronomy
137170,Cantina de la Adelita,42.507417,1.520829,gastronomy,gastronomy
43328,River CafÍÎ,42.454597,1.486916,gastronomy,gastronomy
137172,Bodega Albert,42.508804,1.521323,gastronomy,gastronomy
11022,Cafeteria Orxateria Valenciana,42.499978,1.508217,gastronomy,gastronomy
11412,Restaurant Andburger Zero,42.508173,1.522186,gastronomy,gastronomy
10768,Snack-Bar Quim,42.556818,1.533344,gastronomy,gastronomy
137187,Restaurant l'Isard,42.507961,1.525173,gastronomy,gastronomy
43441,Bar TaranÍ_,42.508748,1.53999,gastronomy,gastronomy
137192,CafÍÎ l'Isard,42.507961,1.525173,gastronomy,gastronomy
11026,Cafeteria Pa amb Xocolata,42.464135,1.490718,gastronomy,gastronomy
11414,Restaurant Hotel Bruxelles,42.576944,1.666526,gastronomy,gastronomy
43443,Bar Hotel Tudel,42.508941,1.539349,gastronomy,gastronomy
137193,Restaurant Hotel Cervol,42.503042,1.513337,gastronomy,gastronomy
137199,Restaurant Monxi el Pirata,42.496386,1.500394,gastronomy,gastronomy
11028,Pastisseria Casal,42.535888,1.582283,gastronomy,gastronomy
43458,Snack-Bar Restaurant Cuco,42.511804,1.540645,gastronomy,gastronomy
11416,Restaurant Hotel Confort,42.586836,1.615841,gastronomy,gastronomy
10772,Snack-Bar RacÍ_ d'en Tobira,42.50546,1.519032,gastronomy,gastronomy
137207,Restaurant Pastisseria l'Spigata,42.506498,1.522884,gastronomy,gastronomy
43480,Cafeteria Forn de Llenya Vilarrubla,42.50867,1.541234,gastronomy,gastronomy
11030,Pastisseria La Camarguesa,42.540394,1.733705,gastronomy,gastronomy
137209,Bar Restaurant Tapes i Mes,42.505581,1.516102,gastronomy,gastronomy
10774,Snack-Bar Restaurant Domenech,42.506842,1.518806,gastronomy,gastronomy
11418,Restaurant Hotel del Bisset,42.5429,1.523355,gastronomy,gastronomy
11036,Pixel CafÍÎ,42.541963,1.731752,gastronomy,gastronomy
137210,CafÍÎ Noir,42.507711,1.531595,gastronomy,gastronomy
43483,Cafeteria Granja Mil fulls,42.509355,1.542616,gastronomy,gastronomy
137211,Forn de pa d'Antoni,42.506433,1.515782,gastronomy,gastronomy
10776,Snack-Bar L'Oregon,42.542441,1.734434,gastronomy,gastronomy
43498,Bar Lurdes,42.512414,1.541441,gastronomy,gastronomy
137212,Bar Restaurant Ponte de Lima,42.505872,1.517235,gastronomy,gastronomy
11038,Restaurant Quarts de Quinze,42.508204,1.521741,gastronomy,gastronomy
11422,Restaurant Hotel del Tarter,42.578793,1.649998,gastronomy,gastronomy
137254,Bar Restaurant Miquel,42.453208,1.487352,gastronomy,gastronomy
43500,Bar Residencia NÍ_ria,42.509146,1.541097,gastronomy,gastronomy
10778,Bar Restaurant Riau,42.512546,1.538875,gastronomy,gastronomy
137256,Cafeteria Art i Pa III,42.465243,1.490964,gastronomy,gastronomy
11424,Restaurant Hotel DiplomÍ_tic,42.505386,1.528712,gastronomy,gastronomy
11042,Bar Totaneta,42.507382,1.531852,gastronomy,gastronomy
137257,Restaurant Jaleo,42.510989,1.538244,gastronomy,gastronomy
137258,Restaurant AtlÍ_ntida (Hotel MetrÍ_polis),42.510261,1.540948,gastronomy,gastronomy
44537,Restaurant Pizzeria Angelo & Express,42.507428,1.533085,gastronomy,gastronomy
10780,Snack-Bar Ries Baixes,42.50512,1.526113,gastronomy,gastronomy
11046,Restaurant Big Ben,42.508125,1.535535,gastronomy,gastronomy
11426,Restaurant Hotel El Xalet,42.579733,1.650197,gastronomy,gastronomy
