id,name,lat,long,type
10616,Bar Restaurant Can Jovi,42.497732,1.503282,gastronomy
10618,Snack-Bar Can’_lich,42.461254,1.489385,gastronomy
10620,Bar Casa Galicia,42.505984,1.514834,gastronomy
10622,Restaurant Casino,42.540082,1.519235,gastronomy
10626,Restaurant Pica Pica,42.508521,1.534771,gastronomy
10628,Bar Restaurant Cibercaf’å Porquets Si,42.547148,1.51474,gastronomy
10632,Bar Cortals,42.542362,1.661232,gastronomy
10636,Bar Comet,42.553805,1.590394,gastronomy
10638,Bar Conte,42.515749,1.530812,gastronomy
10640,Bar Dakar,42.506558,1.517486,gastronomy
10644,Bar Mol’_,42.502739,1.513077,gastronomy
10648,Snack-Bar El Paran’_,42.508734,1.540114,gastronomy
10650,Restaurant El Passad’_s,42.510848,1.53371,gastronomy
10652,Bar El Pla de la Cot Ski & Lounge,42.533382,1.463842,gastronomy
10654,Bar El Pollastre Volador,42.543414,1.516982,gastronomy
10658,Bar El Siurell,42.544489,1.515791,gastronomy
10660,Bar Els Manyos,42.505169,1.52641,gastronomy
10662,Snack-Bar Esport,42.53324,1.524074,gastronomy
10664,Bar Restaurant Fenoy,42.468037,1.492384,gastronomy
10666,Bar Frema,42.511368,1.540715,gastronomy
10668,Bar Pensi’_ Garcia,42.506178,1.518023,gastronomy
10670,Bar Granada,42.535303,1.581884,gastronomy
10674,Bar Ivan,42.541659,1.518409,gastronomy
10676,Snack-Bar Juventus,42.507738,1.529342,gastronomy
10678,Snack-Bar La Barbacoa,42.508023,1.522186,gastronomy
10682,Bar La Bona Taula,42.55018,1.511382,gastronomy
10938,Granja Cal Franc’ås,42.56656,1.599506,gastronomy
10684,Bar Restaurant La Cabaneta,42.583226,1.662906,gastronomy
10940,Granja Combi,42.507714,1.529202,gastronomy
10686,Bar La Cala,42.533445,1.579792,gastronomy
10942,Granja El Resiner,42.506917,1.529911,gastronomy
10688,Snack-Bar La Clota,42.552922,1.528752,gastronomy
10692,Bar La G’_ndola,42.510648,1.533601,gastronomy
10694,Snack-Bar La Nina,42.465845,1.493347,gastronomy
10950,Granja Gaud’_,42.505666,1.520094,gastronomy
10696,Snack-Bar La Passa,42.467639,1.49299,gastronomy
10952,Bar Restaurant La Cuina Casolana,42.506971,1.530039,gastronomy
10698,Bar Restaurant La Pujada,42.506789,1.518227,gastronomy
10700,Snack-Bar La Rosa,42.560348,1.684424,gastronomy
10956,Granja Pastisseria La Palmera,42.506514,1.516776,gastronomy
10702,Restaurant La Sardana,42.506433,1.530554,gastronomy
10958,Granja La Plana,42.542362,1.511135,gastronomy
10704,Cafeteria La Terrassa (Centre Comercial Pyr’©n’©es),42.508252,1.523817,gastronomy
10960,Pastisseria Dol’_a,42.507224,1.519428,gastronomy
10706,Bar L'Abadia,42.507833,1.522315,gastronomy
10962,Granja L'Espiga d'Or,42.506773,1.530297,gastronomy
10710,Restaurant L'Anoia,42.506085,1.530554,gastronomy
10964,Granja Mat’_,42.510383,1.539011,gastronomy
10712,Bar Las Vegas,42.506702,1.529696,gastronomy
10966,Granja Mitja Lluna,42.50618,1.51504,gastronomy
10714,Snack-Bar Les Delicies,42.541959,1.734059,gastronomy
10968,Granja Pac’_fic,42.512236,1.539545,gastronomy
10716,Cafeteria Les Del’_cies del Jimmy,42.566226,1.598709,gastronomy
10970,Pastisseria La Magdalena,42.510213,1.532185,gastronomy
10720,Snack-Bar Lizarran,42.50841,1.529953,gastronomy
10972,Pastisseria La Lyonesa,42.507598,1.531439,gastronomy
10722,Bar Llac del Cubil,42.542362,1.661232,gastronomy
10974,Granja Pastisseria Xocolat’_,42.534821,1.579392,gastronomy
10976,Cafeteria Pitiusa (Hotel Pitiusa),42.509185,1.533108,gastronomy
10726,Bar L'Ona Blava,42.511591,1.537343,gastronomy
10978,Granja Rac’_ d'Enclar,42.497471,1.502692,gastronomy
10728,Restaurant Cafeteria L'Orri,42.507184,1.525855,gastronomy
10980,Snack-Bar Granja Roser,42.511692,1.534519,gastronomy
10732,La Bo’Âte,42.509842,1.540157,gastronomy
10982,Granja Tuite 42,42.505739,1.528502,gastronomy
10736,Cafeteria Mac-Bar Punt de Trobada,42.448035,1.481756,gastronomy
10984,Granja Tramuntana,42.507453,1.520963,gastronomy
10738,Restaurant Macary,42.508584,1.52269,gastronomy
11378,Restaurant El Marselles,42.541226,1.732554,gastronomy
10986,Bar Verd i Blanc,42.504679,1.5157,gastronomy
10740,Bar Restaurant Margineda,42.479561,1.488836,gastronomy
11386,Restaurant El Rac’_ de la Fina,42.547239,1.514697,gastronomy
10990,Granja Xamfr’_,42.507508,1.520061,gastronomy
10742,Bar Restaurant Meritxell,42.470049,1.493119,gastronomy
10992,Restaurant Barcelona,42.476344,1.49009,gastronomy
10998,Bar Hotel Isard,42.50806,1.525206,gastronomy
10748,Bar Muntanya,42.464966,1.491775,gastronomy
11394,Restaurant El Xalet,42.572907,1.483916,gastronomy
10750,Cafeteria Ob’ålix,42.56642,1.469593,gastronomy
11396,Restaurant Els Pessons,42.574299,1.620532,gastronomy
11002,Bar Hotel La Planada,42.553998,1.532082,gastronomy
10752,Bar Off Piste,42.574801,1.481846,gastronomy
11398,Restaurant Els Teus Sentits,42.507216,1.520719,gastronomy
11004,Restaurant Hotel Peralba,42.476229,1.488716,gastronomy
10754,Bar Orelles,42.506496,1.53388,gastronomy
11400,Restaurant F’_brica de Gel,42.566329,1.598071,gastronomy
11006,Restaurant Hotel Roc de Sant Miquel,42.580973,1.663871,gastronomy
10756,Bar Fora de joc,42.509739,1.531016,gastronomy
11402,Restaurant La Braseria la Neu,42.60023,1.532078,gastronomy
11008,Restaurant Segle XX,42.581257,1.638079,gastronomy
