lat,lon,bc,degree
42.5005321,1.5125041,0.022149298,0.000424268
42.5008908,1.5127347,0.023547536,0.000424268
42.5019335,1.5135468,0.026411538,0.000424268
42.5055276,1.5279589,0.004605042,0.000424268
42.5057439,1.5287857,0.009977124,0.000424268
42.5058547,1.5291073,0.01009451,0.000424268
42.506535,1.5300732,0.030721429,0.000848536
42.5068571,1.5305539,0.002221958,0.000848536
42.5069504,1.5307996,0.000558411,0.000424268
42.5072614,1.5316668,0.050613536,0.000424268
42.5073373,1.5318299,0.048222224,0.000424268
42.5083315,1.5324795,0.044286591,0.000848536
42.5082862,1.5292505,0.086444254,0.000636402
42.5062971,1.531066,0.002973521,0.000636402
42.5066578,1.5319296,0.003407512,0.000424268
42.5073649,1.5281932,0.162848382,0.000636402
42.5062268,1.5296377,0.015582551,0.000636402
42.5073942,1.5300102,0.121151539,0.000848536
42.5070424,1.5294368,0.125370554,0.000848536
42.5067291,1.5290038,0.174480642,0.000848536
42.5064289,1.5285423,0.002639525,0.000636402
42.5058964,1.5291857,0.010912647,0.000636402
42.5065929,1.5346665,0.000404062,0.000424268
42.5079706,1.5327115,0.000760675,0.000636402
42.5075967,1.5325337,5.85E-06,0.000424268
42.5074132,1.5324307,0.000121374,0.000424268
42.5072361,1.5322247,0.001102512,0.000424268
42.5077408,1.5316205,0.046701969,0.000636402
42.5075461,1.5312205,0.048933146,0.000424268
42.5074702,1.5301476,0.04703724,0.000424268
42.5070621,1.532601,0.000856858,0.000424268
42.5080579,1.5341695,0.089158052,0.000636402
42.5076356,1.5285028,0.027717278,0.000636402
42.5058345,1.5309658,0.105743148,0.000424268
42.5073942,1.5324049,0.090058392,0.000848536
42.5082182,1.5314211,0.006815668,0.000636402
42.5075588,1.5320273,0.092434578,0.000848536
42.5071646,1.5327913,0.093569526,0.000636402
42.5067744,1.5320775,0.001967832,0.000636402
42.5072804,1.5317269,0.050658555,0.000636402
42.5089077,1.5288688,0.068954427,0.000424268
42.5088116,1.5291348,0.06929495,0.000424268
42.5082785,1.5305071,0.006458643,0.000636402
42.5082095,1.531119,0.003407325,0.000424268
42.5084177,1.533465,0.039742307,0.000424268
42.5085281,1.5348347,0.114181874,0.000424268
42.508712,1.5374154,0.003074587,0.000424268
42.5090003,1.5433612,0.039062703,0.000424268
42.5091205,1.5439534,0.037510762,0.000424268
42.5091395,1.5442281,0.036835199,0.000424268
42.5092732,1.5448842,0.035484181,0.000424268
42.5094606,1.5454162,0.03529615,0.000424268
42.5096644,1.5460522,0.034608686,0.000424268
42.5097631,1.5462582,0.033269198,0.000424268
