motor,id
1,30951
1,30774
1,30775
1,30422
1,30421
1,29892
1,29715
1,29716
1,30068
1,30069
1,29539
1,29540
1,30245
1,29363
1,28123
1,28124
1,30596
1,30950
1,30773
1,30419
1,30420
1,29889
1,29890
1,29713
1,30066
1,29537
1,29536
1,30243
1,29360
1,27947
1,28300
1,28477
1,28831
1,28830
1,29007
1,29183
1,29184
1,28654
1,35015
1,35016
1,35368
1,35369
1,35192
1,35545
1,35720
1,35721
1,35722
1,35719
1,27560
1,27561
1,27738
1,27739
1,28094
1,27382
1,27383
1,27917
1,27916
1,27204
1,27205
1,28613
1,28614
1,28610
1,28611
1,28612
1,25771
1,25772
1,25773
1,25596
