motor,id
0,539
0,359
0,360
0,358
0,895
0,1072
0,718
0,1249
0,540
0,541
0,13103
0,13277
0,13276
0,13101
0,13102
0,13278
0,27365
0,27366
0,27542
0,27719
0,27720
0,28074
0,27542
0,27897
0,18658
0,18659
0,18835
0,18482
0,35330
0,35331
0,35155
0,35154
0,35506
0,35507
0,36913
0,36914
0,36737
0,36738
0,36561
0,36562
0,36386
0,36385
0,36209
0,36210
0,36034
0,36035
0,36033
0,35858
0,35859
0,35682
0,35683
0,25943
0,25766
0,27363
0,27364
0,27542
0,27541
0,26653
0,27186
0,26830
0,26831
0,27009
0,27008
0,26476
0,26475
0,26298
0,26120
0,26121
0,24880
0,24703
0,24525
0,24526
0,25057
0,23994
0,24171
0,25589
0,25412
0,25235
0,25234
0,24348
0,23816
0,23817
0,23639
0,23462
0,23285
0,23108
0,22930
0,22931
0,22753
0,22576
0,21691
0,21868
0,22222
0,22399
0,20447
0,20446
0,22045
0,21336
0,20980
0,20981
0,21159
0,21158
0,20803
0,20802
0,20624
0,20625
0,21513
0,21514
0,20091
0,20268
0,20269
0,19736
0,19732
0,19733
0,19734
0,19735
0,19913
0,19914
0,19555
0,19553
0,19554
0,19375
0,19376
0,19197
0,19198
0,19193
0,19190
