place_id,name,lat,lng,types,rating,address,ID,vicinity
ChIJO5SLdQyKpRIRjvumt9FNW7M,"Casa Cristo, museu etnogràfic",42.5351509,1.5824273,"['museum', 'point_of_interest', 'establishment']",4.8,"Carrer dels Cavallers, 2, AD200 Encamp, Andorra",eeb4905589a531e44b057e3eca44a0b17c5b44c9,"Carrer dels Cavallers, 2, Encamp"
ChIJCY2fN_FfrxIRpNkHxCkepq4,Escàs,42.5464547,1.5064917,"['locality', 'political']",,"AD400 Escàs, Andorra",9e3e0a29b4061093b22345018b36156196f77a79,Escàs
ChIJ7wvczdCKpRIRxXMmIw5VTKw,Mobles Diana,42.5067525,1.5288241,"['store', 'point_of_interest', 'establishment']",3.0,"la, Carrer Pere d'Urg, 10, AD500 Andorra la Vella, Andorra",5ce7e6e486300323fda04db447a5d59a12522da9,"la, Carrer Pere d'Urg, 10, Andorra la Vella"
ChIJ90HbbnxfrxIRb51AMzDi4U8,Bar-Restaurant Bonet,42.5455293,1.4756821,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.1,"Crta general de Av. Fontanella s/n, AD400 Pal, Andorra",37675e6b1f3a5b4e6b98e7107f71786a6bfbbb38,"Crta general de Av. Fontanella s/n, Pal"
ChIJ8x2MnRt_rxIR5IeZqlApKtY,Andorre-L'Hospitalet,42.5884492,1.7986177,"['train_station', 'transit_station', 'point_of_interest', 'establishment']",3.7,"Place de la gare, 09390 Andorre l'Hospitalet, France",33834c7ddb54ef1402b58ca7c38cec621c85e400,"Place de la gare, Andorre l'Hospitalet"
ChIJPeiUHtOKpRIRdH2YFzq1VQI,Insitu cocktail Bar,42.50881160000001,1.5218682,"['bar', 'point_of_interest', 'establishment']",4.0,"Carrer la Llacuna, 12, AD500 Andorra la Vella, Andorra",624bf83e86030c38ba2cfc7d032adea83d9b8d65,"Carrer la Llacuna, 12, Andorra la Vella"
ChIJxWwJ2RFgrxIRhZmST5XbTV8,Escola de Formació de Professions Esportives i de Muntanya (EFPEM),42.553806,1.53075,"['school', 'point_of_interest', 'establishment']",,"C/ Narciso Yepes s/n Centre de Tecnificació, AD300 Ordino, Andorra",8999fd2bab18707e5589d674802f4888fad6635c,"C/ Narciso Yepes s/n Centre de Tecnificació, Ordino"
ChIJ25CBBdGKpRIR0Z-eV6s8994,Escales,42.5084856,1.5275355,"['clothing_store', 'store', 'point_of_interest', 'establishment']",5.0,"Av. Meritxell, 49, AD500 Andorra la Vella, Andorra",a0a7a44e62df693cc4bd66e46881ec293c1064e5,"Avinguda Meritxell, 49, Andorra la Vella"
ChIJ-ZlvY9yKpRIReZPM6H-raEs,Galeno Grup,42.5085125,1.5349637,"['pharmacy', 'store', 'health', 'point_of_interest', 'establishment']",3.3,"Av. Meritxell, 91, AD500 Andorra la Vella, Andorra",44faa44b205cafe67f4a091bcb12781f9cf1b56c,"Avinguda Meritxell, 91, Andorra la Vella"
ChIJ23the71grxIRJ44-fZmOGJY,Mina de Llorts,42.599813,1.5327779,"['parking', 'point_of_interest', 'establishment']",4.0,"AD300 Ordino, Andorra",c79b04e60844254b56c002c9e44b7a39fcffe1de,Ordino
ChIJL7UjgNSKpRIRtxNmDoz7emQ,Massoni Ski,42.506519,1.523198,"['travel_agency', 'point_of_interest', 'establishment']",5.0,"Prat de la Creu 59, Escala A, AD500 Andorra la Vella, Andorra",cafbb1c135fae44c50cbe366a1c328a9eb3a5a04,"Prat de la Creu 59, Escala A, Andorra la Vella"
ChIJ8UsQY9ZirxIRVSpHCzYpu4Y,Xalet Montana,42.5770292,1.6665979,"['lodging', 'point_of_interest', 'establishment']",4.2,"Carretera General, s/n, AD 100 Soldeu, Andorra",cf26d1f2b44a72465048a9f60dceaa4dc91261c0,"Carretera General, s/n, Soldeu"
ChIJO1eAQn3zpRIRWTbmAUO26eg,Oficina de Turisme de Sant Julià de Lòria,42.4620399,1.4906224,"['travel_agency', 'point_of_interest', 'establishment']",5.0,"Av. Francesc Cairat, 2, AD600 Sant Julià de Lòria, Andorra",19122dc89373d0efe1fa705d6a3bcad1c0771196,"Avinguda Francesc Cairat, 2, Sant Julià de Lòria"
ChIJIXjk9gBgrxIRrSZHM1e8xFs,Sant Ermengol de l'Aldosa,42.5435054,1.5225078,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",5.0,"AD400 La Massana, Andorra",d81f73d7301fcb1cee4d06ea6a865c3c4e60c3db,La Massana
ChIJ_z2F2S9irxIREvCUfor0y9s,Sant Joan de Caselles Church,42.5708316,1.6077753,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",4.5,"AD100 Canillo, Andorra",54d9066d27800e82707d5d27e53be26f173ca40a,Canillo
ChIJb67rWgdfrxIRmop8qtBeoJQ,Andbank,42.57502599999999,1.481636,"['atm', 'finance', 'point_of_interest', 'establishment']",,"Carretera d'Arinsal, Casa Joan de la font, AD400 Arinsal, Andorra",a2c8048b49f6eab82f664bb0b0ea5398dae45256,"Carretera d'Arinsal, Casa Joan de la font, Arinsal"
ChIJMb77kc6DpRIRykdQLTmddpo,Hotel Rural Can Borrell Restaurant,42.445499,1.787132,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"carrer retorn, 3, 17539 Meranges, Girona, Spain",11dfdea85733f926fe718b0e82fb809722b91eed,"carrer retorn, 3, Meranges"
ChIJK3Y-FSj1pRIR64LlCIdKH6A,Tallers 3000,42.50293780000001,1.5122962,"['car_repair', 'point_of_interest', 'establishment']",,"Carrer Roureda de Sansa, 38, AD500 Andorra la Vella, Andorra",b3a8c73605e9763e4bda75696743de220538e356,"Carrer Roureda de Sansa, 38, Andorra la Vella"
ChIJK3JGotOKpRIRWvBNamPrcLQ,Boggi Milano,42.5078726,1.5236786,"['clothing_store', 'store', 'point_of_interest', 'establishment']",5.0,"Av.Meritxell, 11, c/o Pyrénées, AD500 Andorra la Vella, Andorra",5cd9a3cb6d88401ba7cddf41527c6bb36d936ff0,"Av.Meritxell, 11, c/o Pyrénées, Andorra la Vella"
ChIJD4N-Wu_0pRIR2fvHP1N0bvw,9 Grup Consultors,42.491732,1.496039,"['accounting', 'finance', 'point_of_interest', 'establishment']",,"Av. d'Enclar, 122, AD500 Santa Coloma, Andorra",595a491d6878098bc7e440bacb3cd91b5c7eeac3,"Avinguda d'Enclar, 122, Santa Coloma"
ChIJ4VlQodSKpRIRGuyiom4_wQk,El Meson De Los Tres Magos,42.506285,1.521801,"['restaurant', 'food', 'point_of_interest', 'establishment']",5.0,"AD500 Andorra la Vella, Andorra",ba3ac51a586cbb43cad07292428a3842c1d55e51,Andorra la Vella
